"objectid","poi_id","kategorie","name","anzahl_pp","markierung","sicherheit","dach","signalisation","bemerkung","gebuehr","oeffentlicher_grund","geometry"
"104612","vap104612","Zweirad","Velo","2","","","","","","0","öffentlicher Grund","POINT (2687170.8 1246034.1)"
"104474","vap104474","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2681062.5 1249722.1)"
"104858","vap104858","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2681927.2 1249184.6)"
"13763","vap13763","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2680918.8 1252270.6)"
"12805","vap12805","Zweirad","Velo","51","","","","","","0","öffentlicher Grund","POINT (2682955.2 1248561.6)"
"9309","vap9309","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2683783 1246896.4)"
"9308","vap9308","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2683825.8 1246834.1)"
"20004","vap20004","Zweirad","Velo","84","","","","","","0","öffentlicher Grund","POINT (2678421.8 1248311.9)"
"18280","vap18280","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2679075 1248883.8)"
"104407","vap104407","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2680708.5 1246062.9)"
