"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Pfingstweidstrasse 9","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Pfingstweid","","1","","","","","","","","","","","","","","","","","ph001","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/pfingstweid.jsp?pid=pfingstweid","232","1","0","0","0","0","0","POINT (2681481.5 1249087)"
"","Hardstrasse 201","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Prime Tower","","10000512","","","","","","","","","","","","","","","","","ph10000512","","","","","","","","","","","","","","20","10000512","0","0","0","0","0","POINT (2681442.2 1248929)"
"","Technoparkstrasse 10","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Puls 5","","1533","","","","","","","","","","","","","","","","","ph1533","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/puls5.jsp?pid=puls5","59","1533","3","0","5","0","0","POINT (2681459.8 1249457)"
"","Giessereistrasse 7","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Schiffbau","","10000473","","","","","","","","","","","","","","","","","ph10000473","","","","","","","","","","","","","","30","10000473","2","0","0","0","0","POINT (2681564.8 1249292.5)"
"","Lengghalde 2b","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Schulthess Klinik","","10000483","","","","","","","","","","","","","","","","","ph10000483","","","","","","","","","","","","","","193","10000483","3","0","0","0","0","POINT (2685735 1245202.9)"
"","Büttenweg 22","","16","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Sihlcity","","10000479","","","","","","","","","","","","","","","","","ph10000479","","","","","","","","","","","","","","748","10000479","16","0","0","0","5","POINT (2681938 1245644.9)"
"","Saumackerstrasse 33","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Solida Park","","10000399","","","","","","","","","","","","","","","","","ph10000399","","","","","","","","","","","","","","48","10000399","0","0","0","0","0","POINT (2679283.8 1249097.5)"
"","Wehntalerstrasse 628","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Spar Affoltern","","10000489","","","","","","","","","","","","","","","","","ph10000489","","","","","","","","","","","","","","14","10000489","0","0","0","0","0","POINT (2680047.5 1252972.6)"
"","Baslerstrasse 15","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Stadion Letzigrund","","10000485","","","","","","","","","","","","","","","","","ph10000485","","","","","","","","","","","","","","108","10000485","2","0","0","0","0","POINT (2680421 1248665.4)"
"","Niklausstrasse 17","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Stampfenbach","","33","","","","","","","","","","","","","","","","","ph033","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/stampfenbach.jsp?pid=stampfenbach","189","33","2","0","5","0","2","POINT (2683117 1249006.6)"
"","Müllerstrasse 11","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Stauffacher","","10000501","","","","","","","","","","","","","","","","","ph10000501","","","","","","","","","","","","","","10","10000501","0","0","0","0","0","POINT (2682499.5 1247607.8)"
"","Werdstrasse 6","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Stauffachertor","","10000421","","","","","","","","","","","","","","","","","ph10000421","","","","","","","","","","","","","","59","10000421","1","0","4","0","0","POINT (2682458.2 1247474.1)"
"","Tödistrasse 26","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Stockerhof","","10000506","","","","","","","","","","","","","","","","","ph10000506","","","","","","","","","","","","","","45","10000506","0","0","0","0","0","POINT (2682816 1246705.5)"
"","Nüschelerstrasse 30","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Talgarten","","42","","","","","","","","","","","","","","","","","ph042","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/talgarten.jsp?pid=talgarten","110","42","0","0","0","0","0","POINT (2682881.8 1247391.1)"
"","Technoparkstrasse 2","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Technopark Zürich","","10000467","","","","","","","","","","","","","","","","","ph10000467","","","","","","","","","","","","","","61","10000467","2","0","0","0","2","POINT (2681334 1249290.4)"
"","Räffelstrasse 24","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Tic Tric Trac","","10000517","","","","","","","","","","","","","","","","","ph10000517","","","","","","","","","","","","","","155","10000517","3","0","0","0","0","POINT (2681179 1246396.2)"
"","Tobelhofstrasse 23","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Tobelhofstrasse","","10000321","","","","","","","","","","","","","","","","","ph10000321","","","","","","","","","","","","","","22","10000321","1","0","0","0","0","POINT (2685472.5 1248010.4)"
"","Förrlibuckstrasse 113","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Toni-Areal","","10000516","","","","","","","","","","","","","","","","","ph10000516","","","","","","","","","","","","","","90","10000516","2","0","0","0","0","POINT (2681095 1249561.6)"
"","Frauenklinikstrasse 10","","4","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Unispital Nord","","1412","","","","","","","","","","","","","","","","","ph1412","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/unispital_nord.jsp?pid=unispital_nord","104","1412","4","0","0","0","0","POINT (2683910.2 1248157.5)"
"","Winterthurerstrasse 181","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Universität Irchel","","18","","","","","","","","","","","","","","","","","ph018","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/uni_irchel.jsp?pid=uni_irchel","773","18","0","0","0","0","0","POINT (2683633.2 1250294.1)"
"","Uraniastrasse 3","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Urania","","24","","","","","","","","","","","","","","","","","ph024","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/urania.jsp?pid=urania","451","24","1","3","0","1","0","POINT (2683236.2 1247643.6)"
"","Färberstrasse 6","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Utoquai","","48","","","","","","","","","","","","","","","","","ph048","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/utoquai.jsp?pid=utoquai","149","48","0","0","0","0","0","POINT (2683843.2 1246247)"
"","Vorderberg 3","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Vorderberg","","10000417","","","","","","","","","","","","","","","","","ph10000417","","","","","","","","","","","","","","20","10000417","0","0","0","0","0","POINT (2684595 1247866.5)"
"","Wallisellenstrasse 335","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Wallisellenstrasse","","10000457","","","","","","","","","","","","","","","","","ph10000457","","","","","","","","","","","","","","49","10000457","2","0","0","0","0","POINT (2684800.5 1251773)"
"","Pfingstweidstrasse 60b","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","West-Park","","10000468","","","","","","","","","","","","","","","","","ph10000468","","","","","","","","","","","","","","38","10000468","1","0","0","0","0","POINT (2681302.8 1249417.8)"
"","Röschibachstrasse 28","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Wipkingen","","10000430","","","","","","","","","","","","","","","","","ph10000430","","","","","","","","","","","","","","62","10000430","0","0","0","0","0","POINT (2682045.2 1249723.1)"
"","Leutschenbachstrasse 77","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","World Trade Center","","10000459","","","","","","","","","","","","","","","","","ph10000459","","","","","","","","","","","","","","184","10000459","3","0","0","1","0","POINT (2684491.5 1252473.1)"
