objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
104599,vap104599,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2685267 1246026.6),POINT (47.35957028509466 8.567329410404987),7
104694,vap104694,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2681308.8 1241918),POINT (47.32311976684837 8.5141949128246),2
104728,vap104728,Zweirad,Beide,5,,,,,,0,öffentlicher Grund,POINT (2682825.5 1250385.4),POINT (47.39908188415932 8.535821531786837),6
105053,vap105053,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2682736.5 1247932.9),POINT (47.37703690083858 8.534189144974334),4
6730,vap6730,Zweirad,Beide,24,,,,,,0,öffentlicher Grund,POINT (2683290.5 1251367.8),POINT (47.40785824868012 8.54216362056572),11
6731,vap6731,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2683398 1251646.9),POINT (47.41035466416283 8.543639798989602),11
6732,vap6732,Zweirad,Beide,16,,,,,,0,öffentlicher Grund,POINT (2683560.8 1251617.6),POINT (47.4100705229362 8.545791119631676),11
6734,vap6734,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2683156 1250868.2),POINT (47.40338220263504 8.54028890398436),6
6735,vap6735,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2683092.5 1250852.4),POINT (47.40324812343733 8.539444819868546),6
104533,vap104533,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682221.5 1245601),POINT (47.35612962894908 8.526942382954271),2
104566,vap104566,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2683673 1247317.4),POINT (47.37138322883906 8.54647321267141),1
104695,vap104695,Zweirad,Beide,15,,,,,,0,öffentlicher Grund,POINT (2681441.5 1242126.4),POINT (47.32497764938365 8.515987919319485),2
104825,vap104825,Zweirad,Beide,24,,,,,,0,öffentlicher Grund,POINT (2679328 1247983.9),POINT (47.37791473777508 8.489069682298972),9
2571,vap2571,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2682797.5 1247379.9),POINT (47.37205590055743 8.534894486210613),1
2899,vap2899,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2680401.8 1253191.1),POINT (47.4246147739773 8.504223233914344),11
104730,vap104730,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2683469.2 1249173.4),POINT (47.38810073033426 8.544121385723146),6
104957,vap104957,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2682886 1251340.2),POINT (47.40766107108202 8.536799871917298),11
2572,vap2572,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2679980 1253297.6),POINT (47.42562393813269 8.498652687944091),11
2573,vap2573,Zweirad,Beide,22,,,,,,0,öffentlicher Grund,POINT (2680073.2 1253270.4),POINT (47.42536799124675 8.499882904309285),11
